Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_sectors_op_write                                                     # of LTS sectors for writes                                                                    
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_hit                  # of LTS sectors from unit TEX accessing peer memory (peermem) for reductions that hit         
smsp__inst_executed_op_global_ld_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: LDG                      
l1tex__t_set_accesses_pipe_lsu_mem_global_op_atom                           # of cache set accesses for global atomics                                                     
sm__mio_pq_read_cycles_active_pipe_lsu                                      # of cycles where MIOP PQ sent register operands to the lsu pipe                               
smsp__inst_executed_op_generic_ld_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: LD                       
lts__t_requests_op_atom_dot_cas                                             # of LTS requests for atomic CAS                                                               
lts__t_sectors_srcunit_l1_op_atom                                           # of LTS sectors from unit L1 for all atomics                                                  
smsp__inst_executed_pipe_alu                                                # of warp instructions executed by alu pipe                                                    
smsp__warps_issue_stalled_sleeping                                          cumulative # of warps waiting for a nanosleep to expire                                        
sm__pipe_alu_cycles_active                                                  # of cycles where alu pipe was active                                                          
l1tex__t_sectors_pipe_lsu_mem_global_op_ld                                  # of sectors requested for global loads                                                        
smsp__warps_issue_stalled_mio_throttle                                      cumulative # of warps waiting for a free entry in the MIO instruction queue                    
sm__inst_executed_pipe_fp16                                                 # of warp instructions executed by fp16 pipe                                                   
l1tex__data_bank_conflicts_pipe_lsu_mem_shared                              # of data bank conflicts generated by shared ops                                               
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_hit             # of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers that hit   
lts__t_sectors_srcunit_l1_aperture_peer_op_read_lookup_miss                 # of LTS sectors from unit L1 accessing peer memory (peermem) for reads that missed            
l1tex__t_bytes_pipe_tex_lookup_hit                                          # of bytes requested with tag-hit and data-hit for TEX pipe                                    
lts__t_sectors_aperture_peer_op_membar_lookup_hit                           # of LTS sectors accessing peer memory (peermem) for memory barriers that hit                  
smsp__sass_inst_executed_op_local_st                                        # of warp instructions executed: STL, ST                                                       
lts__t_requests_aperture_peer_op_atom                                       # of LTS requests accessing peer memory (peermem) for all atomics                              
smsp__sass_sectors_mem_global                                               # of global memory sectors accessed                                                            
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_hit                 # of LTS sectors from unit TEX accessing peer memory (peermem) for reads that hit              
sm__mio_pq_read_cycles_active_pipe_tex                                      # of cycles where MIOP PQ sent register operands to the tex pipe                               
lts__t_requests_srcunit_tex_aperture_device_lookup_hit                      # of LTS requests from unit TEX accessing device memory (vidmem) that hit                      
smsp__inst_executed_op_generic_atom_pred_off_all                            # of warp instructions executed with all threads predicated off: ATOM.*                        
smsp__inst_executed_op_local_st_pred_off_all                                # of warp instructions executed with all threads predicated off: STL                           
smsp__sass_inst_executed_op_atom                                            # of warp instructions executed: ATOM, ATOMG, ATOMS, ATOM                                     
smsp__mio2rf_writeback_active_pipe_adu                                      # of cycles where the MIO to register file writeback interface was active for ADU return data 
l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_miss                      # of bytes requested that missed for global atomics                                           
l1tex__t_sectors_pipe_lsu_mem_local_op_ld                                   # of sectors requested for local loads                                                        
lts__t_requests_srcunit_tex_aperture_peer_op_red_lookup_hit                 # of LTS requests from unit TEX accessing peer memory (peermem) for reductions that hit       
lts__t_sectors_aperture_sysmem_op_red                                       # of LTS sectors accessing system memory (sysmem) for reductions                              
lts__t_requests_aperture_sysmem_op_atom                                     # of LTS requests accessing system memory (sysmem) for all atomics                            
smsp__inst_executed_op_generic_st                                           # of warp instructions executed: ST                                                           
lts__t_requests_srcunit_tex_aperture_peer_op_write                          # of LTS requests from unit TEX accessing peer memory (peermem) for writes                    
smsp__inst_executed_op_shared_ld_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: LDS                     
l1tex__t_bytes_pipe_lsu_mem_global_op_st                                    # of bytes requested for global stores                                                        
lts__t_sectors_aperture_peer_op_atom_dot_cas                                # of LTS sectors accessing peer memory (peermem) for atomic CAS                               
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_red                          # of extra cycles spent on set conflicts for surface reductions                               
l1tex__t_bytes_pipe_tex_mem_texture_op_ld                                   # of bytes requested for TLD instructions                                                     
lts__t_requests_op_read_lookup_hit                                          # of LTS requests for reads that hit                                                          
dram__sectors_read                                                          # of sectors read from DRAM                                                                   
lts__t_requests_srcunit_l1_aperture_sysmem_op_read_lookup_miss              # of LTS requests from unit L1 accessing system memory (sysmem) for reads that missed         
lts__t_requests_op_read                                                     # of LTS requests for reads                                                                   
lts__t_requests_srcunit_tex_aperture_sysmem_op_membar_lookup_hit            # of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers that hit 
lts__t_sectors_aperture_device_lookup_miss                                  # of LTS sectors accessing device memory (vidmem) that missed                                 
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_hit             # of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers that hit  
smsp__inst_executed_op_global_ld_pred_off_all                               # of warp instructions executed with all threads predicated off: LDG                          
l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_hit                        # of sector requests to T-Stage with tag-hit and data-hit for local stores                    
smsp__inst_executed_op_branch                                               # of warp instructions executed: BRA, BRX, JMP, JMX, CALL, RET                                
smsp__pipe_shared_cycles_active                                             # of cycles where the 'shared pipe' fp16+tensor was active                                    
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit                       # of sector requests to T-Stage with tag-hit and data-hit for global loads                    
lts__t_bytes_equiv_l1sectormiss                                             # of bytes requested                                                                          
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit                       # of sector requests to T-Stage with tag-hit and data-hit for global stores                   
lts__t_requests_aperture_peer_op_red                                        # of LTS requests accessing peer memory (peermem) for reductions                              
sm__idc_divergent_instruction_replays                                       # of IDC instruction replays due to address divergence                                        
smsp__inst_executed_op_surface_atom_dot_alu_pred_on_any                     # of warp instructions executed with at least 1 thread predicated on: SUATOM.ALU (non-CAS)    
lts__t_requests_aperture_peer_op_membar                                     # of LTS requests accessing peer memory (peermem) for memory barriers                         
lts__t_sectors                                                              # of LTS sectors                                                                              
lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_alu                  # of LTS requests from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS)      
lts__t_sectors_aperture_peer_op_red_lookup_hit                              # of LTS sectors accessing peer memory (peermem) for reductions that hit                      
l1tex__data_pipe_lsu_wavefronts_mem_lg_cmd_read                             # of local/global read wavefronts processed by Data-Stage                                     
sm__pipe_fma_cycles_active                                                  # of cycles where fma pipe was active                                                         
smsp__inst_executed_op_shared_st_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: STS                     
lts__t_sectors_srcunit_tex_aperture_device_op_read                          # of LTS sectors from unit TEX accessing device memory (vidmem) for reads                     
lts__t_requests_srcunit_tex_aperture_sysmem_lookup_miss                     # of LTS requests from unit TEX accessing system memory (sysmem) that missed                  
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_hit                # of LTS sectors from unit TEX accessing peer memory (peermem) for writes that hit            
lts__t_sectors_aperture_peer_op_atom                                        # of LTS sectors accessing peer memory (peermem) for all atomics                              
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld                       # of wavefronts sent to Data-Stage from T-Stage for surface loads                             
sys__cycles_in_region                                                       # of cycles in user-defined region                                                            
l1tex__t_sectors_pipe_tex_mem_surface_op_atom                               # of sectors requested for surface atomics                                                    
lts__t_sectors_srcunit_tex_aperture_device_lookup_hit                       # of LTS sectors from unit TEX accessing device memory (vidmem) that hit                      
l1tex__data_pipe_tex_wavefronts_mem_texture                                 # of texture wavefronts processed by Data-Stage                                               
lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_cas                  # of LTS requests from unit L1 accessing device memory (vidmem) for atomic CAS                
sm__warps_launched_shader_cs                                                # of warps launched for CS                                                                    
smsp__sass_l1tex_tags_mem_global                                            # of L1 cache tag lookups generated by global memory instructions                             
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st                         # of sectors written to L2 for surface stores                                                 
lts__t_sectors_srcunit_l1_aperture_device_op_read                           # of LTS sectors from unit L1 accessing device memory (vidmem) for reads                      
l1tex__t_output_wavefronts_pipe_tex_mem_texture                             # of wavefronts sent to Data-Stage from T-Stage for texture instructions                      
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_st                  # of bytes requested for surface stores                                                       
l1tex__m_xbar2l1tex_read_sectors_mem_texture                                # of sectors read from L2 into L1TEX M-Stage for texture                                      
lts__t_requests_aperture_sysmem_op_write                                    # of LTS requests accessing system memory (sysmem) for writes                                 
lts__t_requests_lookup_hit                                                  # of LTS requests that hit                                                                    
smsp__sass_thread_inst_executed_op_hfma_pred_on                             # of HFMA thread instructions executed where all predicates were true                         
smsp__inst_executed_op_global_ld                                            # of warp instructions executed: LDG                                                          
lts__t_sectors_aperture_sysmem_op_atom_dot_alu_lookup_miss                  # of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS) that missed        
lts__t_requests_srcunit_tex_op_membar_lookup_hit                            # of LTS requests from unit TEX for memory barriers that hit                                  
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_miss               # of LTS sectors from unit TEX accessing peer memory (peermem) for writes that missed         
smsp__inst_executed_op_generic_atom_dot_alu_pred_off_all                    # of warp instructions executed with all threads predicated off: ATOM.ALU, ATOMG.ALU (non-CAS)
smsp__inst_executed_op_ldc_pred_on_any                                      # of warp instructions executed with at least 1 thread predicated on: LDC                     
lts__t_requests_srcunit_l1_op_atom_dot_alu                                  # of LTS requests from unit L1 for atomic ALU (non-CAS)                                       
lts__t_sectors_srcunit_l1_op_membar_lookup_hit                              # of LTS sectors from unit L1 for memory barriers that hit                                    
l1tex__t_bytes_pipe_tex_mem_surface_lookup_hit                              # of bytes requested with tag-hit and data-hit for surface                                    
lts__t_requests_srcunit_l1_aperture_sysmem                                  # of LTS requests from unit L1 accessing system memory (sysmem)                               
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st                        # of data bank conflicts generated by shared stores                                           
dram__bytes_read                                                            # of bytes read from DRAM                                                                     
lts__t_sectors_srcunit_l1_op_atom_dot_alu                                   # of LTS sectors from unit L1 for atomic ALU (non-CAS)                                        
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_ld                  # of bytes requested for surface loads                                                        
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_miss                     # of sector requests to T-Stage that missed for TLD instructions                              
lts__t_requests_srcunit_l1_aperture_device_lookup_miss                      # of LTS requests from unit L1 accessing device memory (vidmem) that missed                   
lts__t_requests_srcunit_l1_op_membar                                        # of LTS requests from unit L1 for memory barriers                                            
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture                         # of sectors requested for texture                                                            
smsp__inst_executed_op_generic_atom_dot_cas_pred_off_all                    # of warp instructions executed with all threads predicated off: ATOM.CAS, ATOMG.CAS          
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_hit          # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that hit         
smsp__cycles_active                                                         # of cycles with at least one warp in flight                                                  
lts__t_sectors_aperture_sysmem_op_membar_lookup_hit                         # of LTS sectors accessing system memory (sysmem) for memory barriers that hit                
lts__t_requests_srcunit_tex_aperture_sysmem_op_write                        # of LTS requests from unit TEX accessing system memory (sysmem) for writes                   
lts__t_sectors_aperture_device_op_membar_lookup_miss                        # of LTS sectors accessing device memory (vidmem) for memory barriers that missed             
smsp__sass_thread_inst_executed_op_dadd_pred_on                             # of DADD thread instructions executed where all predicates were true                         
smsp__issue_inst0                                                           # of active cycles where 0 instructions were issued                                           
lts__t_requests_srcunit_tex_aperture_sysmem_lookup_hit                      # of LTS requests from unit TEX accessing system memory (sysmem) that hit                     
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture_op_ld                  # of bytes requested for TLD instructions                                                     
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_miss              # of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics that missed   
l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_hit                        # of bytes requested with tag-hit and data-hit for TLD instructions                           
lts__t_requests_op_atom_lookup_miss                                         # of LTS requests for all atomics that missed                                                 
lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_miss              # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that missed   
l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit                         # of bytes requested with tag-hit and data-hit for global loads                               
lts__t_sectors_aperture_peer_op_atom_dot_cas_lookup_miss                    # of LTS sectors accessing peer memory (peermem) for atomic CAS that missed                   
lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_miss                  # of LTS sectors accessing device memory (vidmem) for atomic CAS that missed                  
l1tex__t_bytes_pipe_tex_mem_texture_op_tex                                  # of bytes requested for TEX instructions                                                     
lts__t_requests_srcunit_tex_aperture_device_op_atom_lookup_hit              # of LTS requests from unit TEX accessing device memory (vidmem) for all atomics that hit     
l1tex__data_pipe_lsu_wavefronts_mem_shared                                  # of shared memory wavefronts processed by Data-Stage                                         
smsp__inst_executed_op_ldc_pred_off_all                                     # of warp instructions executed with all threads predicated off: LDC                          
smsp__sass_thread_inst_executed_op_uniform_pred_on                          # of uniform thread instructions executed where all predicates were true                      
lts__t_sectors_aperture_sysmem_op_atom_dot_alu_lookup_hit                   # of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS) that hit           
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu                   # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS)       
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas                  # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS                  
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_st                   # of sectors requested for surface stores                                                       
lts__t_requests_srcunit_l1_aperture_device_op_read_lookup_hit               # of LTS requests from unit L1 accessing device memory (vidmem) for reads that hit              
lts__t_sectors_srcunit_tex_lookup_miss                                      # of LTS sectors from unit TEX that missed                                                      
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_local_op_st                     # of sectors requested for local stores                                                         
smsp__sass_inst_executed_op_memory_32b                                      # of warp instructions executed by memory instructions with width 32 bit                        
smsp__sass_thread_inst_executed_pred_on                                     # of thread instructions where all predicates were true                                         
lts__t_sectors_aperture_sysmem_op_atom_lookup_hit                           # of LTS sectors accessing system memory (sysmem) for all atomics that hit                      
lts__t_requests_op_atom                                                     # of LTS requests for all atomics                                                               
lts__t_sectors_srcunit_l1_aperture_peer_op_read                             # of LTS sectors from unit L1 accessing peer memory (peermem) for reads                         
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_st                        # of data bank conflicts generated by global stores                                             
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st                         # of wavefronts sent to Data-Stage from T-Stage for local stores                                
smsp__issue_active                                                          # of active cycles where 1 instruction was issued                                               
lts__t_sectors_aperture_peer_op_write_lookup_hit                            # of LTS sectors accessing peer memory (peermem) for writes that hit                            
idc__requests_lookup_miss                                                   # of IDC requests that missed                                                                   
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_miss              # of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers that missed  
lts__t_requests_aperture_sysmem_op_membar                                   # of LTS requests accessing system memory (sysmem) for memory barriers                          
lts__t_sectors_srcunit_tex_aperture_device_lookup_miss                      # of LTS sectors from unit TEX accessing device memory (vidmem) that missed                     
lts__t_requests_aperture_device_op_red                                      # of LTS requests accessing device memory (vidmem) for reductions                               
lts__t_sectors_srcunit_l1_op_atom_lookup_hit                                # of LTS sectors from unit L1 for all atomics that hit                                          
lts__t_sectors_srcunit_tex_aperture_device                                  # of LTS sectors from unit TEX accessing device memory (vidmem)                                 
smsp__inst_executed_op_surface_st                                           # of warp instructions executed: SUST                                                           
l1tex__t_output_wavefronts_pipe_lsu                                         # of wavefronts sent to Data-Stage from T-Stage for LSU pipe local/global                       
lts__t_requests_srcunit_tex_aperture_device_op_red_lookup_miss              # of LTS requests from unit TEX accessing device memory (vidmem) for reductions that missed     
fbpa__cycles_in_frame                                                       # of cycles in user-defined frame                                                               
l1tex__t_sectors_lookup_hit                                                 # of sector requests to T-Stage with tag-hit and data-hit                                       
lts__t_requests_srcunit_tex_aperture_peer_op_atom                           # of LTS requests from unit TEX accessing peer memory (peermem) for all atomics                 
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_global_op_atom                  # of sectors requested for global atomics                                                       
lts__t_sectors_aperture_sysmem_op_atom                                      # of LTS sectors accessing system memory (sysmem) for all atomics                               
smsp__sass_inst_executed_op_texture                                         # of warp instructions executed: texture                                                        
smsp__warps_launched                                                        # of warps launched                                                                             
l1tex__t_output_wavefronts_pipe_tex_mem_surface                             # of wavefronts sent to Data-Stage from T-Stage for surface instructions                        
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_hit         # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS) that hit
sys__cycles_in_frame                                                        # of cycles in user-defined frame                                                               
lts__xbar2lts_cycles_active                                                 # of cycles where interface from XBAR to LTS was active                                         
smsp__inst_executed_op_shared_ld_pred_off_all                               # of warp instructions executed with all threads predicated off: LDS                            
fbpa__dram_write_bytes                                                      # of DRAM write bytes                                                                           
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_miss            # of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers that missed 
lts__t_sectors_aperture_sysmem_op_write_lookup_miss                         # of LTS sectors accessing system memory (sysmem) for writes that missed                        
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss                      # of sector requests to T-Stage that missed for global stores                                   
l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_hit                     # of sector requests to T-Stage with tag-hit and data-hit for surface reductions                
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss                      # of sector requests to T-Stage that missed for global loads                                    
lts__t_sectors_aperture_sysmem_op_atom_dot_alu                              # of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS)                      
lts__t_requests_srcunit_tex_aperture_sysmem_op_red                          # of LTS requests from unit TEX accessing system memory (sysmem) for reductions                 
lts__t_requests_srcunit_l1_aperture_device_op_read_lookup_miss              # of LTS requests from unit L1 accessing device memory (vidmem) for reads that missed           
lts__t_requests_aperture_peer_lookup_hit                                    # of LTS requests accessing peer memory (peermem) that hit                                      
lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_miss               # of LTS requests from unit L1 accessing peer memory (peermem) for writes that missed           
lts__t_requests_op_membar_lookup_miss                                       # of LTS requests for memory barriers that missed                                               
l1tex__t_set_accesses_pipe_tex_mem_texture_op_tex                           # of cache set accesses for TEX instructions                                                    
l1tex__t_output_wavefronts_realtime                                         # of wavefronts sent to Data-Stage from T-Stage                                                 
smsp__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on                  # of FADD, FMUL and FFMA thread instructions executed where all predicates were true            
dram__bytes_write                                                           # of bytes written to DRAM                                                                      
fbpa__cycles_active                                                         # of cycles where FBPA                                                                          
dram__cycles_active_read                                                    # of cycles where DRAM was active for reads                                                     
l1tex__t_set_accesses_pipe_lsu_mem_global_op_st                             # of cache set accesses for global stores                                                       
gpu__time_duration                                                          incremental duration in nanoseconds; isolated measurement is same as gpu__time_active           
lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_miss                 # of LTS requests from unit L1 accessing peer memory (peermem) for reductions that missed       
lts__t_bytes_equiv_l1sectormiss_pipe_lsu                                    # of bytes requested for LSU pipe local/global                                                  
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom                           # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics                  
sm__threads_launched_shader_cs                                              # of threads launched for CS                                                                    
l1tex__t_set_conflicts_pipe_tex_mem_texture_op_ld                           # of extra cycles spent on set conflicts for TLD instructions                                   
smsp__inst_executed_op_global_red_pred_off_all                              # of warp instructions executed with all threads predicated off: RED                            
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_st                   # of bytes requested for global stores                                                          
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_hit                 # of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics that hit         
lts__t_requests                                                             # of LTS requests                                                                               
lts__t_requests_aperture_device_op_read_lookup_hit                          # of LTS requests accessing device memory (vidmem) for reads that hit                           
lts__t_bytes_equiv_l1sectormiss_pipe_tex                                    # of bytes requested for TEX pipe                                                               
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu                    # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS)         
lts__t_sectors_srcunit_tex_aperture_peer                                    # of LTS sectors from unit TEX accessing peer memory (peermem)                                  
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom                       # of sectors read from L2 into L1TEX M-Stage for surface atomics                                
lts__t_sectors_aperture_peer_op_atom_lookup_hit                             # of LTS sectors accessing peer memory (peermem) for all atomics that hit                       
lts__t_sectors_srcunit_l1_lookup_hit                                        # of LTS sectors from unit L1 that hit                                                          
lts__t_requests_srcunit_tex_op_atom_dot_alu                                 # of LTS requests from unit TEX for atomic ALU (non-CAS)                                        
l1tex__m_l1tex2xbar_req_cycles_active                                       # of cycles where interface from L1TEX M-Stage to XBAR was active                               
dram__cycles_in_region                                                      # of cycles in user-defined region                                                              
lts__cycles_in_frame                                                        # of cycles in user-defined frame                                                               
smsp__pipe_fp64_cycles_active                                               # of cycles where fp64 pipe was active                                                          
dram__cycles_in_frame                                                       # of cycles in user-defined frame                                                               
gr__cycles_idle                                                             # of cycles where GR was idle                                                                   
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_hit              # of LTS sectors from unit TEX accessing device memory (vidmem) for writes that hit             
smsp__inst_executed_op_texture                                              # of warp instructions executed: texture                                                        
lts__t_sectors_srcunit_l1_aperture_peer_op_read_lookup_hit                  # of LTS sectors from unit L1 accessing peer memory (peermem) for reads that hit                
l1tex__t_requests_pipe_lsu_mem_global_op_red                                # of requests sent to T-Stage for global reductions                                             
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom                     # of wavefronts sent to Data-Stage from T-Stage for surface atomics                             
lts__t_requests_srcunit_tex_op_atom                                         # of LTS requests from unit TEX for all atomics                                                 
tpc__warp_launch_cycles_stalled_shader_cs_reason_register_allocation        # of cycles where CS warp launch was stalled due to register allocation (non-exclusively)       
lts__t_requests_srcunit_l1_op_read_lookup_miss                              # of LTS requests from unit L1 for reads that missed                                            
lts__t_requests_srcunit_l1_aperture_sysmem_op_membar                        # of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers             
lts__t_sectors_srcunit_l1_op_atom_dot_alu_lookup_hit                        # of LTS sectors from unit L1 for atomic ALU (non-CAS) that hit                                 
sm__ctas_launched_total                                                     # of CTAs launched including preemption-restore events                                          
lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_hit                # of LTS requests from unit L1 accessing device memory (vidmem) for reductions that hit         
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_hit                # of LTS sectors from unit TEX accessing device memory (vidmem) for reductions that hit         
smsp__inst_executed_op_global_st_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: STG                       
l1tex__texin_sm2tex_req_cycles_stalled                                      # of cycles where interface carrying requests from SM to L1TEX TEXIN-Stage was stalled          
smsp__inst_executed_pipe_uniform                                            # of warp instructions executed by uniform pipe                                                 
l1tex__f_wavefronts                                                         # of wavefronts processed by L1TEX F-Stage                                                      
lts__t_requests_srcunit_tex_aperture_sysmem_op_read_lookup_hit              # of LTS requests from unit TEX accessing system memory (sysmem) for reads that hit             
lts__t_requests_srcunit_tex_aperture_device_op_write_lookup_miss            # of LTS requests from unit TEX accessing device memory (vidmem) for writes that missed         
l1tex__t_set_accesses_pipe_lsu                                              # of cache set accesses for LSU pipe local/global                                               
dram__cycles_active_write                                                   # of cycles where DRAM was active for writes                                                    
lts__t_sectors_aperture_peer_op_write                                       # of LTS sectors accessing peer memory (peermem) for writes                                         
smsp__warps_issue_stalled_barrier                                           cumulative # of warps waiting for sibling warps at a CTA barrier                                    
lts__t_requests_srcunit_l1_aperture_peer_lookup_hit                         # of LTS requests from unit L1 accessing peer memory (peermem) that hit                             
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_st                           # of extra cycles spent on set conflicts for surface stores                                         
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_miss              # of LTS sectors from unit TEX accessing device memory (vidmem) for reads that missed               
lts__t_sectors_srcunit_l1_aperture_device_op_write_lookup_miss              # of LTS sectors from unit L1 accessing device memory (vidmem) for writes that missed               
smsp__inst_executed_op_shared_atom_pred_off_all                             # of warp instructions executed with all threads predicated off: ATOMS.*                            
smsp__inst_executed_op_local_st                                             # of warp instructions executed: STL                                                                
dram__cycles_elapsed                                                        # of elapsed DRAM command clock cycles (CK)                                                         
lts__t_sectors_srcunit_tex_aperture_peer_lookup_hit                         # of LTS sectors from unit TEX accessing peer memory (peermem) that hit                             
lts__t_requests_aperture_sysmem                                             # of LTS requests accessing system memory (sysmem)                                                  
smsp__warps_eligible                                                        cumulative # of warps eligible to issue an instruction                                              
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_red                          # of bytes written to L2# of sectors written to L2 for surface reductions                           
smsp__sass_inst_executed_op_shared                                          # of warp instructions executed: LDS, LD, STS, ST, ATOMS, ATOM                                      
lts__t_requests_op_membar_lookup_hit                                        # of LTS requests for memory barriers that hit                                                      
lts__t_sectors_srcunit_tex_op_atom                                          # of LTS sectors from unit TEX for all atomics                                                      
lts__t_sectors_srcunit_tex_lookup_hit                                       # of LTS sectors from unit TEX that hit                                                             
lts__t_sectors_srcunit_l1_aperture_peer_lookup_miss                         # of LTS sectors from unit L1 accessing peer memory (peermem) that missed                           
lts__t_sectors_lookup_hit                                                   # of LTS sectors that hit                                                                           
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_miss                      # of bytes requested that missed for surface reductions                                             
lts__t_requests_srcunit_tex_aperture_sysmem_op_write_lookup_hit             # of LTS requests from unit TEX accessing system memory (sysmem) for writes that hit                
lts__t_requests_aperture_device_op_write                                    # of LTS requests accessing device memory (vidmem) for writes                                       
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu_lookup_hit       # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS) that hit   
l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_miss                       # of bytes requested that missed for TLD instructions                                               
fbpa__dram_write_sectors                                                    # of DRAM write sectors                                                                             
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_alu                  # of LTS requests from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS)            
lts__t_sectors_srcunit_l1_aperture_device_op_atom_lookup_hit                # of LTS sectors from unit L1 accessing device memory (vidmem) for all atomics that hit             
lts__t_sectors_aperture_peer_op_membar                                      # of LTS sectors accessing peer memory (peermem) for memory barriers                                
lts__t_sectors_aperture_device_op_atom_dot_cas                              # of LTS sectors accessing device memory (vidmem) for atomic CAS                                    
sm__inst_executed_pipe_adu                                                  # of warp instructions executed by adu pipe                                                         
l1tex__t_sectors_pipe_tex_mem_texture_op_tex_lookup_hit                     # of sector requests to T-Stage with tag-hit and data-hit for TEX instructions                      
lts__t_sectors_srcunit_l1_aperture_sysmem_op_membar                         # of LTS sectors from unit L1 accessing system memory (sysmem) for memory barriers                  
